"company_id","date_joined","year_founded"
189,"2017-06-24T00:00:00.000Z",1919
848,"2021-06-01T00:00:00.000Z",2019
556,"2022-02-15T00:00:00.000Z",2011
999,"2021-11-17T00:00:00.000Z",2020
396,"2021-10-21T00:00:00.000Z",2021
931,"2021-09-24T00:00:00.000Z",2020
364,"2019-02-01T00:00:00.000Z",2015
732,"2022-01-27T00:00:00.000Z",2017
906,"2021-06-10T00:00:00.000Z",2017
72,"2015-01-23T00:00:00.000Z",2006
983,"2019-08-22T00:00:00.000Z",1999
898,"2022-01-25T00:00:00.000Z",2015
844,"2021-07-07T00:00:00.000Z",2018
894,"2021-12-06T00:00:00.000Z",2020
813,"2021-08-10T00:00:00.000Z",2017
743,"2020-12-24T00:00:00.000Z",2015
226,"2021-01-24T00:00:00.000Z",2020
963,"2021-10-05T00:00:00.000Z",2017
764,"2021-12-07T00:00:00.000Z",2018
839,"2021-12-28T00:00:00.000Z",2016
1033,"2021-01-27T00:00:00.000Z",2006
725,"2022-01-25T00:00:00.000Z",2010
549,"2021-09-22T00:00:00.000Z",2016
667,"2015-01-16T00:00:00.000Z",2014
755,"2021-09-08T00:00:00.000Z",2017
782,"2022-01-31T00:00:00.000Z",2021
175,"2019-06-25T00:00:00.000Z",2011
398,"2021-10-15T00:00:00.000Z",2017
814,"2021-11-16T00:00:00.000Z",2014
436,"2017-04-14T00:00:00.000Z",2006
1046,"2021-06-16T00:00:00.000Z",2014
565,"2021-04-21T00:00:00.000Z",2013
781,"2021-08-31T00:00:00.000Z",2018
997,"2021-12-06T00:00:00.000Z",2011
194,"2021-03-18T00:00:00.000Z",2001
249,"2021-06-29T00:00:00.000Z",2019
434,"2021-05-19T00:00:00.000Z",2014
1035,"2021-11-18T00:00:00.000Z",2020
969,"2022-01-26T00:00:00.000Z",2014
1018,"2021-02-18T00:00:00.000Z",2011
355,"2021-09-14T00:00:00.000Z",2017
934,"2020-03-17T00:00:00.000Z",2011
1054,"2021-05-18T00:00:00.000Z",2016
901,"2021-11-08T00:00:00.000Z",2020
173,"2021-12-20T00:00:00.000Z",2018
738,"2022-01-11T00:00:00.000Z",2018
422,"2022-02-16T00:00:00.000Z",2019
830,"2021-03-30T00:00:00.000Z",2017
1004,"2021-05-24T00:00:00.000Z",2016
951,"2015-03-06T00:00:00.000Z",2011
734,"2022-01-27T00:00:00.000Z",2012
1063,"2021-11-10T00:00:00.000Z",2018
623,"2015-04-21T00:00:00.000Z",2013
846,"2019-10-21T00:00:00.000Z",2015
823,"2019-05-21T00:00:00.000Z",2000
944,"2021-07-22T00:00:00.000Z",2005
1030,"2021-08-09T00:00:00.000Z",2019
824,"2016-04-14T00:00:00.000Z",2012
930,"2022-02-22T00:00:00.000Z",2017
370,"2018-07-09T00:00:00.000Z",2010
618,"2018-10-18T00:00:00.000Z",2009
456,"2020-01-29T00:00:00.000Z",2016
893,"2021-09-02T00:00:00.000Z",2020
812,"2022-03-31T00:00:00.000Z",2019
1001,"2020-09-21T00:00:00.000Z",2020
703,"2021-12-02T00:00:00.000Z",2018
884,"2021-12-14T00:00:00.000Z",2020
404,"2021-03-19T00:00:00.000Z",2010
952,"2022-03-30T00:00:00.000Z",2021
625,"2020-01-28T00:00:00.000Z",2012
971,"2021-11-02T00:00:00.000Z",2015
796,"2017-07-20T00:00:00.000Z",2012
909,"2022-01-27T00:00:00.000Z",2015
587,"2018-05-17T00:00:00.000Z",2014
273,"2022-04-05T00:00:00.000Z",2013
771,"2021-09-28T00:00:00.000Z",2017
758,"2021-12-21T00:00:00.000Z",2016
652,"2021-06-15T00:00:00.000Z",2015
8,"2017-12-20T00:00:00.000Z",2015
760,"2020-11-17T00:00:00.000Z",2016
394,"2022-01-31T00:00:00.000Z",2016
393,"2021-09-27T00:00:00.000Z",2013
870,"2021-02-16T00:00:00.000Z",2016
804,"2021-09-16T00:00:00.000Z",2019
1041,"2021-11-02T00:00:00.000Z",2015
443,"2022-03-17T00:00:00.000Z",2017
978,"2021-01-07T00:00:00.000Z",2015
612,"2021-12-31T00:00:00.000Z",2016
714,"2017-10-17T00:00:00.000Z",2021
925,"2022-03-21T00:00:00.000Z",2012
421,"2020-11-16T00:00:00.000Z",2009
449,"2021-07-03T00:00:00.000Z",2019
1022,"2021-06-02T00:00:00.000Z",2013
240,"2016-05-11T00:00:00.000Z",2006
644,"2021-01-25T00:00:00.000Z",2016
718,"2021-09-30T00:00:00.000Z",2015
920,"2021-08-10T00:00:00.000Z",2004
1048,"2021-09-30T00:00:00.000Z",2014
1024,"2021-04-22T00:00:00.000Z",2011
929,"2021-12-22T00:00:00.000Z",2019
