"company_id","industry"
189,"Health"
848,"Fintech"
556,"Internet software & services"
999,"Internet software & services"
396,"Fintech"
931,"Consumer & retail"
364,"E-commerce & direct-to-consumer"
732,"Fintech"
906,"Hardware"
72,"Hardware"
983,"Fintech"
898,"Internet software & services"
844,"Fintech"
894,"Fintech"
813,"Fintech"
743,"Other"
226,"Mobile & telecommunications"
963,"Fintech"
764,"Fintech"
839,"E-commerce & direct-to-consumer"
1033,"Internet software & services"
725,"Health"
549,"Artificial intelligence"
667,"Mobile & telecommunications"
755,"Fintech"
782,"Fintech"
175,"Fintech"
398,"Fintech"
814,"E-commerce & direct-to-consumer"
436,"Artificial intelligence"
1046,"Artificial intelligence"
565,"Artificial intelligence"
781,"Internet software & services"
997,"E-commerce & direct-to-consumer"
194,"Internet software & services"
249,"Fintech"
434,"Auto & transportation"
1035,"Cybersecurity"
969,"Data management & analytics"
1018,"Other"
355,"Internet software & services"
934,"E-commerce & direct-to-consumer"
1054,"Fintech"
901,"Cybersecurity"
173,"Internet software & services"
738,"Fintech"
422,"Internet software & services"
830,"Health"
1004,"Other"
951,"E-commerce & direct-to-consumer"
734,"Internet software & services"
1063,"Fintech"
623,"Fintech"
846,"Data management & analytics"
823,"Fintech"
944,"Fintech"
1030,"Artificial intelligence"
824,"E-commerce & direct-to-consumer"
930,"Internet software & services"
370,"Data management & analytics"
618,"E-commerce & direct-to-consumer"
456,"Cybersecurity"
893,"E-commerce & direct-to-consumer"
812,"Other"
1001,"Other"
703,"Cybersecurity"
884,"Health"
404,"Cybersecurity"
952,"Internet software & services"
625,"Internet software & services"
971,"Internet software & services"
796,"Edtech"
909,"Fintech"
587,"Artificial intelligence"
273,"Health"
771,"Internet software & services"
758,"Internet software & services"
652,"Internet software & services"
8,"Consumer & retail"
760,"Mobile & telecommunications"
394,"Health"
393,"Fintech"
870,"Other"
804,"Artificial intelligence"
1041,"Internet software & services"
443,"Artificial intelligence"
978,"Internet software & services"
612,"Auto & transportation"
714,"Mobile & telecommunications"
925,"Fintech"
421,"Internet software & services"
449,"Fintech"
1022,"""Supply chain, logistics, & delivery"""
240,"Other"
644,"""Supply chain, logistics, & delivery"""
718,"Fintech"
920,"Fintech"
1048,"Health"
1024,"Artificial intelligence"
929,"Artificial intelligence"
